Afghan Taliban,Taliban
Airport Road,Unknown 
Akhil Tarai Janatantrik Tarai Mukti Morcha,Akhil Tarai Janatantrik Tarai Mukti Morcha
Al Qaeda,Al Qaeda
Armed Garo National Liberation Army,Armed Garo National Liberation Army
Armed men,Attackers
BLA,Baloch Liberation Army
Baloch Liberation Army,Baloch Liberation Army
Baloch Liberation Front,Baloch Liberation Army
CPI,Communist Party of India Maoist
CPI Maoist,Communist Party of India Maoist
CPIMaoist,Communist Party of India Maoist
CPN,Communist Party of Nepal Maoist
CPN Maoist,Communist Party of Nepal Maoist
Cadres,Attackers
Caliphate,Attackers
Chief operational commander,Attackers
CoBRA,Commando Battalion for Resolute Action
Commando Battalion for Resolute Action,Commando Battalion for Resolute Action
Communist Party Nepal,Communist Party of Nepal Maoist
Communist Party of India,Communist Party of India
Communist Party of India Maoist,Communist Party of India Maoist
Communist Party of IndiaMaoist,Communist Party of India Maoist
Communist Party of Nepal Maoist,Communist Party of Nepal Maoist
Communist party of India Maoist,Communist Party of India Maoist
Daesh,Daesh
Divisional Commander,Attackers
GNLA,Garo National Liberation Army
Garo National Liberation Army,Garo National Liberation Army
Ghumsar Nagavali division,Ghumsar Nagavali division
HM,Hizb ul Mujahideen
Hizb ul Mujahideen,Hizb ul Mujahideen
Hizbul Mujahideen,Hizb ul Mujahideen
I K Songbijit faction of the National Democratic Front,IK Songbijit faction of National Democratic Front of Bodoland
IK Songbijit faction of National Democratic Front of Bodoland,IK Songbijit faction of National Democratic Front of Bodoland
IKS,IK Songbijit faction of National Democratic Front of Bodoland
IS,Islamic State
Indian Security Forces,Military
IsakMuivah factof National Socialist Council of Nagaland,IsakMuivah factof National Socialist Council of Nagaland
Islamic State,Islamic State
Islamic State IS,Islamic State
JJMP,Jharkhand Jan Mukti Parishad
JMB,Jama atul Mujahideen Bangladesh
JTMM K,Janatantrik Tarai Mukti Morcha Krantikari
Jaish e Mohammed,Jaish e Mohammed
JaisheMohammad,Jaish e Mohammed
Jama atul Mujahideen Bangladesh,Jama atul Mujahideen Bangladesh
Janatantrik Tarai Mukti Morcha Krantikari,Janatantrik Tarai Mukti Morcha Krantikari
JeM,Jaish e Mohammed
Jharkhand Jan Mukti Parishad,Jharkhand Jan Mukti Parishad
Khaplang faction,Khaplang faction
LWE,Left Wing Extremists
LWEs,Left Wing Extremists
Lashkar e Jhangvi,Lashkar e Jhangvi
Lashkar e Jhangvi LeJ,Lashkar e Jhangvi
Lashkar e Toiba,Lashkar e Toiba
LashkareToiba,Lashkar e Toiba
LeJ,Lashkar e Jhangvi
LeT,Lashkar e Toiba
Left Wing Extremists,Left Wing Extremists
MNPF,Manipur Naga Peoples Front
Manipur Naga Peoples Front,Manipur Naga Peoples Front
Manipur Naga Peopleâ€™s Front,Manipur Naga Peoples Front
Maoist,Attackers
Maoists,Attackers
Militants,Attackers
Militantâ€™s,Attackers
NDFB,National Democratic Front of Bodoland
NDFB IKS,National Democratic Front of Bodoland
NSCN,National Socialist Council of Nagaland
NSCN IM,National Socialist Council of Nagaland
NSCN K,National Socialist Council of Nagaland
NSCNIM,National Socialist Council of Nagaland
National Democratic Front of Bodoland,National Democratic Front of Bodoland
National Socialist Council of Nagaland,National Socialist Council of Nagaland
National Socialist Council of Nagaland Isak Muivah,National Socialist Council of Nagaland
Naxalites,Naxalites
Naxalites Left Wing Extremists,Naxalites
Naxals,Naxalites
Naxals Left Wing Extremism,Naxalites
Naxals Left Wing Extremists,Naxalites
NotSpecified,Unknown Source
PLA,Peoples Liberation Army
PLFI,People Liberation Front of India
PREPAK,People Revolutionary Party of Kangleipak
Pakistan Air Force,Military
Pakistani,Military
Pakistani militants,Military
Pakistani troops,Military
People Liberation Front of India,People Liberation Front of India
People s Liberation Front of India,People Liberation Front of India
Peoples Liberation Army,Peoples Liberation Army
