index	year	month	location	news
32833	2013	4	pakistan	At least two persons, including a minor, sustained injuries when an Improvised Explosive Devise (IED) planted by militants went off near the vehicle of the Awami National Party (ANP) local leader Farooq Khan in Shadheri area of Charsadda District on April 17, reports The News. The sources said Farooq Khan, senior vice president of the ANP in PK 17 and a member of the election committee, constituted to lead the election campaign of the party ‘chief’ Asfandyar Wali Khan for NA 7, was the apparent target. However, he survived the attack and a passerby minor, Haroon Shah, and Ibrahim, driver of Farooq Khan, sustained injuries in the incident, the sources said.
11433	2014	7	bangladesh	The International Crimes Tribunal 1 (ICT 1) on July 21 (today) fixed August 14, 2014 for giving order on whether War Crimes charges will be framed against former Jatiya Party (JP) lawmaker Engineer Abdul Jabbar who is absconding since 2009 for his alleged involvement in crimes against humanity during the Liberation War in 1971 in Pirojpur District, reports The Daily Star. The tribunal fixed the date after the prosecution prayed for the former JP leader s indictment, while state appointed defence pleads to exonerate him from the war crimes charges.Prosecutor Hrishikesh Saha said that Jabbar along with his accomplices forcefully converted 200 Hindus to Islam at Phuljhuri village in Pirojpur District in the last week of May 1971. Two freedom fighters of the village were also killed and Jabbar participated in the killing incident. Apart from that, Jabbar participated in the killing of one person in Phuljhuri village and setting fire to 360 houses in Pirojpur District.
19631	2014	3	pakistan	The Khyber Pakhtunkhwa (KP) Government on March 12 informed the Supreme Court that any Afghan Taliban incursion into Pakistani territory from the Afghan Province of Nuristan to force the Kalash in Chitral District to convert to Islam was almost impossible because the Pakistan Army was regularly patrolling the border, reports Dawn. In reply to a suo motu notice taken by the Supreme Court on February 20, 2014, KP Advocate General Abdul Latif Yousufzai submitted a two page report explaining that the army and other Law Enforcement Agencies were regularly keeping a strict vigil through 16 check posts from Arandu to Lutkoh areas. They were ready to counter any attempt by the Taliban, the report said. Moreover, the border with Nuristan is inaccessible and presently snowbound. Earlier, the Malakand Commissioner visited Chitral District on February 21, 2014, and held a meeting with the Kalash community in Bumburet Valley, the report said, adding that the threat issued by the Taliban was nothing new. The video clip issuing warning to the Kalash to convert to Islam, which was cited by the local and international media, had not been circulated among the people of Chitral, the report claimed. It said the administration and the army had taken steps to beef up security in the area.
26106	2013	3	india	After several run ins with Indian Air Force (IAF), Central Reserve Police Force (CRPF) has floated bids to hire private choppers for anti Naxal Left Wing Extremism (LWEs) operations, reports The Economic Times on 1st April. CRPF will, however, assume no responsibility if the choppers come under fire from the insurgents. In a bid document issued by CRPF on March 15, it has specified that it intends to hire two private choppers for supervisory reconnaissance by senior officers besides carrying troops, supplies like weapons and rations and casualty evacuation. The choppers provided by IAF to CRPF had so far mainly been employed for casualty evacuation with CRPF rarely getting a chance to do an air reconnaissance of possible LWE targets.
35371	2013	11	pakistan	an elderly man was found dead at his home in Baldia locality. Police said the deceased, Taj Muhammad, was hit and killed by a “sharp weapon” in his head by unidentified persons.
3148	2015	5	india	Cadres of the Communist Party of India Maoist (CPI Maoist) attacked a Border Security Force (BSF) team killing a trooper in Chhattisgarh s Kanker District, striking for the third time since April 11, reports The Times of India. Maoists fired indiscriminately on BSF personnel who were patrolling in the proximity of Chhote Baithiya BSF camp under Bande Police Station area late on April 12 night, Kanker Superintendent of Police (SP) Jitendra Singh Meena told PTI. A BSF head constable succumbed to bullet injuries, sustained during the gunfight, while being taken to a local hospital, the SP said.
59323	2011	12	india	India Today reports that leading a vitriolic attack against India, Jama’at ud Da’awa (JuD) chief Hafiz Saeed on December 18 vowed to continue jihad to oust Indian forces from Jammu and Kashmir. Some people are conspiring in Islamabad to stop and harm the Kashmiri freedom movement. They are in a dialogue process with India and have declared India a favourite country, an open market for them. Listen, God willing, we will not allow this resolution in parliament. The people of Pakistan do not want relations with India, Saeed said in an anti India rally in Pakistan. He also blasted Islamabad for holding dialogues with India and its handling of the Kashmir dispute.
24755	2013	1	india	At least, 11 Central Reserve Police Force (CRPF) troopers were injured, in a series of blasts triggered by the Communist Party of India Maoist (CPI Maoist) cadres, in Bokaro District of Jharkhand, on January 20, reports The Indian Express. The Police said the incident took place at Mahua Tand Police Station area under Jhumra Hills when security personnel were returning from patrolling.
17304	2014	10	india	A series of Internet chats between key members of Indian Mujahideen (IM) based in India and Pakistan provided leads as early as July 2013 to the emergence of new terror modules with links to West Bengal, Assam and Bangladesh, and a branch leader identified only as “Bengali”, reports The Indian Express. The transcripts of some of these chats, unearthed last year by National Investigation Agency (NIA) reveal that the ground had been laid in 2013 to launch terror operations under the leadership of “Bengali”. They also indicate that it was this operative who carried out the SMS campaign in 2012 that sparked panic among people from the northeast living in southern cities such as Bangalore, Karnataka. These chat conversations have gained significance in the light of the October 2 blast at a house in Burdwan in West Bengal which resulted in the death of two persons allegedly involved in making explosive devices.
42501	2012	8	india	Police arrested five dalam (armed squad) members of the Communist Party of India Maoist (CPI Maoist) during a combing operation in Chelamalla forest area of the Charla mandal (administrative unit) of Bhadrachalam division in Khammam District on August 3, reports Zee News. Two guns, ammunition and sharp weapons were also seized from them. After interrogation, it was revealed that the five Maoists worked in the Venkatapuram area committee and were members of the Sukhadev and Sunil dalams. The five were identified as M Nanda, M Bhimaiah, M Pojjaiah, M Lakshmi and S Jogaiah. They were involved in as many as 15 offences over the past few years, besides planning to ambush Police teams, a senior Police officer said. The Maoist dalam members had planned to hold meetings after mobilising people and indulge in violence in Chelamalla forest area on the direction of their leader Sukhadev and Sunita during the Maoists Martyrs Week , the officer said.
